var,year,month,exposure_days
wind,1980,2,0.018818264149458985
wind,1980,3,0.024207143922142703
wind,1980,4,0.012058290691921561
wind,1980,5,0.002883090730033424
wind,1980,6,0.001969284405954382
wind,1980,7,0.002347453443374084
wind,1980,8,0.005002167727456546
wind,1980,9,0.013339886597627094
wind,1980,10,0.0237829769204382
wind,1980,11,0.03334643905382794
wind,1980,12,0.036616400535787984
wind,1981,1,0.03927220023510756
wind,1981,2,0.02041409300150821
wind,1981,3,0.022836440712426805
wind,1981,4,0.0038599597597198643
wind,1981,5,0.001534783565160689
wind,1981,6,0.0018829985112952603
wind,1981,7,0.0014711871039075183
wind,1981,8,0.017081328033634387
wind,1981,9,0.02331189675460372
wind,1981,10,0.011471043972985736
wind,1981,11,0.05417622234395119
wind,1981,12,0.041189073858582365
wind,1982,1,0.025529001181402677
wind,1982,2,0.019166038616376155
wind,1982,3,0.019250840381695944
wind,1982,4,0.01419952659775074
wind,1982,5,0.001604564374570769
wind,1982,6,0.0012411333961727653
wind,1982,7,0.017809326567894905
wind,1982,8,0.012693410472856045
wind,1982,9,0.0070960658113315795
wind,1982,10,0.019987917912930045
wind,1982,11,0.025008790253333853
wind,1982,12,0.04397231066763414
wind,1983,1,0.045445331626659154
wind,1983,2,0.03300236647561421
wind,1983,3,0.022637781934504445
wind,1983,4,0.004744911978470761
wind,1983,5,0.002366239650165542
wind,1983,6,0.0022700107729941897
wind,1983,7,0.0030724301811759338
wind,1983,8,0.014568585803753266
wind,1983,9,0.053929750347741334
wind,1983,10,0.009726383661340746
wind,1983,11,0.041605952269132204
wind,1983,12,0.0253936834828007
wind,1984,1,0.05308357828286438
wind,1984,2,0.03693472121272264
wind,1984,3,0.018057616975710258
wind,1984,4,0.01349896967314482
wind,1984,5,0.007423968485882592
wind,1984,6,0.002572921593063342
wind,1984,7,0.003995334668524104
wind,1984,8,0.01935434510949756
wind,1984,9,0.0018741519637273324
wind,1984,10,0.015973854814598943
wind,1984,11,0.04061969831351821
wind,1984,12,0.011618300229006154
wind,1985,1,0.026969923899779813
wind,1985,2,0.021108747913576704
wind,1985,3,0.016586949007807418
wind,1985,4,0.013275009246988422
wind,1985,5,0.0008886211548605684
wind,1985,6,0.010227609083392587
wind,1985,7,0.002424804517909428
wind,1985,8,0.0021309307383753336
wind,1985,9,0.005827099642704253
wind,1985,10,0.02002781568789185
wind,1985,11,0.024103581186613546
wind,1985,12,0.03962983546421797
wind,1986,1,0.032897464291251864
wind,1986,2,0.02478988253448018
wind,1986,3,0.018085149642160053
wind,1986,4,0.005866166040702721
wind,1986,5,0.0017393950910580425
wind,1986,6,0.004015024667935833
