scale,unit,var,model,ssp,year,E_annual
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2037,1.8024864403678804
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2038,0.834481077457385
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2039,1.5406585816724856
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2040,1.7694964145690308
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2041,1.9216690027828136
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2042,1.370000203140406
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2043,1.898937574907888
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2044,1.1570885895950105
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2045,1.9818392345661828
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2046,1.458000690677738
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2047,1.7232209966073713
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2048,1.398196111889638
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2049,1.1827452414323805
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2050,1.3609401344788896
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2051,2.093424340300755
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2052,1.2372478517885086
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2053,1.6500497694353014
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2054,1.401365104515658
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2055,1.4499156966703342
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2056,2.468157718325049
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2057,1.3226278261928075
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2058,1.5173380461940176
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2059,1.1849594734595472
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2060,1.992524427651285
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2061,2.054847949295856
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2062,1.6381660470877872
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2063,1.656062729802524
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2064,1.5242448249942373
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2065,1.664635261136977
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2066,1.6103764194444374
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2067,1.6267292339567625
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2068,1.7792877892211632
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2069,1.7133686797893597
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2070,1.478944481686705
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2071,1.6298982265827844
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2072,1.5659698945698546
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2073,1.7259837081274667
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2074,1.6717654945454647
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2075,2.0535681638123373
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2076,1.7580392873827324
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2077,1.5872183964082776
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2078,1.5775895341985025
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2079,1.7512747069695551
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2080,1.412639405204314
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2081,1.3950677473742443
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2082,1.4813212261562332
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2083,1.9403985617646704
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2084,1.6645743189711113
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2085,1.4598086415989306
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2086,1.9217908871145868
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2087,1.4566193349176677
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2088,1.2153289861253649
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2089,1.6353220793465049
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2090,1.4072968086617328
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2091,1.8784406931153357
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2092,2.40859690820053
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2093,1.862006622381826
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2094,1.7769516728622257
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2095,2.623763381883694
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2096,1.827188331606444
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2097,1.8471367339059757
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2098,1.50110711601338
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2099,1.503626058869975
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2100,1.293659983342308
corridor,NE_ASIA_LALB,wind,access_cm2,SSP2-4.5,2015,1.554086172222387
corridor,NE_ASIA_LALB,wind,access_cm2,SSP2-4.5,2016,1.3886078777904671
corridor,NE_ASIA_LALB,wind,access_cm2,SSP2-4.5,2017,1.4443496455195857
corridor,NE_ASIA_LALB,wind,access_cm2,SSP2-4.5,2018,1.5175411867469366
corridor,NE_ASIA_LALB,wind,access_cm2,SSP2-4.5,2019,1.7161313913094625
corridor,NE_ASIA_LALB,wind,access_cm2,SSP2-4.5,2020,1.869014971458524
